Id,Label,timeset,eigencentrality
kellyypark,kellyypark,,0.809918
liatm3,liatm3,,0.759666
Iam_Casen,Iam_Casen,,0.932676
gabs_falcon,gabs_falcon,,0.844942
LoredoLeslie,LoredoLeslie,,0.35778
AlephAdmin,AlephAdmin,,0.560612
anthonyquyy,anthonyquyy,,0.668072
RoosterCarr,RoosterCarr,,0.927228
steeniston,steeniston,,0.689837
Ricky2Thicky,Ricky2Thicky,,0.688036
erictbh_,erictbh_,,0.587881
LMLascaux,LMLascaux,,0.424033
evandemond,evandemond,,0.933571
mothaswag,mothaswag,,0.597261
Magdahx,Magdahx,,0.655238
jackie_alice,jackie_alice,,0.89853
TheAdamCardenas,TheAdamCardenas,,0.35772
niceboy500,niceboy500,,0.643445
jakegvllenhaall,jakegvllenhaall,,1
sofiaopel,sofiaopel,,0.590738
mistymar_,mistymar_,,0.423387
oneinagill,oneinagill,,0.785378
sebradford98,sebradford98,,0.665904
dumbbitchhrs247,dumbbitchhrs247,,0.734185
_wbcoIeman,_wbcoIeman,,0.585902
kenenwadei,kenenwadei,,0.663574
hvlgeorge,hvlgeorge,,0.822459
thegardenof3den,thegardenof3den,,0.835786
therealmikecera,therealmikecera,,0.629305
celeggste,celeggste,,0.807357
anuolu99,anuolu99,,0.509456
DrewMCarter,DrewMCarter,,0.831194
amberysong,amberysong,,0.829585
AOC,AOC,,0.284623
BarackObama,BarackObama,,0.15328
babyblueekid,babyblueekid,,0.673973
